Distance (µm),C Wt%,Si Wt%,O Wt%,F Wt%,K Wt%,Na Wt%,Ti Wt%,Fe Wt%,B Wt%,
0.920175180385937,10.84029,85.38833,0.377341,1.473186,1.158049,0.457203,0,0.305597,0,
0.924009243637545,11.17498,85.9084,0.630839,0.719691,0.331947,0,0,0,1.234147,
0.927843306889154,10.7571,86.57318,0.331169,1.431805,0.590082,0,0,0,0.316669,
0.931677370140762,13.04507,82.42007,1.186702,0.187437,1.721214,0.302767,0,1.136741,0,
0.93551143339237,10.00837,86.28996,0.84667,0.412068,0.917343,0.135765,0,1.069726,0.320103,
0.939345496643978,13.31609,84.35155,0.439938,0.322487,0.925376,0.167613,0.204863,0.272094,0,
0.943179559895586,11.67158,85.2307,0.879232,0.256167,0.578244,0.385976,0.474465,0.523639,0,
0.947013623147194,10.30608,87.92007,0.486458,0.233245,0.389941,0.31968,0.299992,0.04453,0,
0.950847686398802,10.33185,85.71206,1.218206,0.455854,0.967938,0.49861,0,0,0.815482,
0.95468174965041,12.82995,83.96188,1.37138,0.806885,0.974453,0,0,0.055449,0,
0.958515812902018,12.7594,84.09373,0.896963,0.248527,1.046842,0.201873,0.752667,0,0,
0.962349876153626,11.1085,84.44148,1.471692,0.857055,0.870699,0,0,0.718682,0.531887,
0.966183939405234,11.30526,85.65463,0.784014,0.812724,0.38746,0.455916,0.344793,0.2552,0,
0.970018002656842,11.84285,84.87469,0.574911,0.966999,0.62884,0.491355,0,0.620348,0,
0.973852065908451,12.63711,84.58643,0.269596,1.238275,1.243081,0.025503,0,0,0,
0.977686129160058,9.17835,85.93851,1.345835,1.53496,1.694154,0,0.308189,0,0,
0.981520192411667,13.24364,82.83909,0.939656,0.586527,1.176434,0.298542,0.289316,0.626792,0,
0.985354255663275,9.67763,87.57856,0.928961,0,0.9841,0,0.106142,0.23259,0.492019,
0.989188318914883,11.45661,82.96244,1.002625,1.134955,1.68094,0.221371,0.329212,1.21184,0,
0.993022382166491,11.98603,83.69294,0.843611,0.838289,2.009322,0.500043,0.129763,0,0,
0.996856445418099,11.13226,83.89201,0.399033,0.7777,2.195291,0.614204,0.989514,0,0,
1.00069050866971,11.78101,85.01535,0.405798,0.985156,1.525514,0,0.197226,0.070404,0.019541,
1.00452457192132,12.1584,84.7748,0.731616,1.007402,0.614042,0,0,0,0.713747,
1.00835863517292,11.00766,85.25716,1.17199,1.094352,0.681369,0.093511,0.601436,0,0.092522,
1.01219269842453,11.81834,86.10381,0.797167,1.224503,0,0,0.056176,0,0,
1.01602676167614,10.694,85.89648,0.858842,1.253049,1.297621,0,0,0,0,
1.01986082492775,10.61738,84.93728,1.38378,0.974823,1.930467,0.156269,0,0,0,
1.02369488817936,12.39546,82.96873,1.033689,0.83295,2.232855,0,0,0.536317,0,
1.02752895143096,10.9969,85.13873,0.63048,1.038692,1.406521,0.248028,0,0.540649,0,
1.03136301468257,11.72385,83.46348,0.531653,1.64153,1.118724,0.482077,0.483484,0.555201,0,
1.03519707793418,11.77338,83.43456,0.595376,1.169721,1.796203,0.392105,0,0,0.838652,
1.03903114118579,12.28236,83.6854,1.463395,0.638044,1.594157,0.333242,0,0.003399,0,
1.0428652044374,11.804,82.98041,1.041052,0.685141,1.752746,0,0,1.736655,0,
1.046699267689,11.49661,84.54624,1.018511,1.630602,1.25126,0,0.056766,0,0,
1.05053333094061,10.78807,84.63219,1.302801,1.377594,1.617291,0,0,0.282053,0,
1.05436739419222,13.20528,82.50283,0.777908,0.519013,1.831936,0.531978,0.049554,0.091823,0.489679,
1.05820145744383,12.24777,80.554,0.568517,1.044793,2.294486,0.979306,0.619974,1.691152,0,
1.06203552069544,12.84678,84.25739,0.591233,1.011271,0.958435,0.09743,0.237474,0,0,
1.06586958394704,10.57154,83.82049,1.305855,1.331539,1.71094,0.185589,0.636887,0.437165,0,
1.06970364719865,14.28921,82.0647,0.735771,1.227996,1.630119,0.052202,0,0,0,
1.07353771045026,11.63931,83.44225,0.690161,0.956546,2.392639,0,0.095653,0.02626,0.757181,
1.07737177370187,13.27805,82.49958,1.231363,0.713926,1.897192,0.286409,0.093475,0,0,
1.08120583695348,12.74855,83.32677,0.879667,0.577451,1.909162,0.055225,0.503172,0,0,
1.08503990020508,12.34091,84.22993,0.769146,0.929594,1.730417,0,0,0,0,
1.08887396345669,12.43816,83.55861,1.049341,1.178732,1.528594,0,0.207076,0.039489,0,
1.0927080267083,12.18951,84.17651,1.044922,1.139429,1.346055,0.101127,0.002444,0,0,
1.09654208995991,13.79618,82.51543,0.420771,1.233574,2.03405,0,0,0,0,
1.10037615321152,14.15921,82.70019,0.526629,1.165972,0.971915,0,0,0.476084,0,
1.10421021646313,13.9034,81.05219,1.425603,1.360589,0.778202,0,0.514843,0.965173,0,
1.10804427971473,13.23974,84.06147,0.767028,1.374269,0.557494,0,0,0,0,
1.11187834296634,13.57572,82.21483,1.168434,1.097912,1.480466,0,0,0.462634,0,
1.11571240621795,13.62498,82.1784,1.000474,1.245862,1.04484,0.596545,0,0.130605,0.17829,
